Controller,Kc,Ti,Td,OvershootValue,PeakTime_s,SettlingTime_s,DecayRatio,SteadyStateError,Score,MeetsAll
PID,4.5,0.75,1.15,0.0201679709075702,4.17,4.29831368168421,5.62164891305918,0,0.37835108694082,0
PID,3.25,0.75,1.3,0.0259265373110773,4.52,5.33212053720271,5.60178258522301,0,0.398217414776991,0
PID,1.5,0.75,1.55,0.0325974159532889,5.4,6.69611379512125,7.9423508026513,0,0.4,0
PID,3,0.75,1.35,0.0275092183456711,4.63,5.55168701920948,5.59586762485517,0,0.404132375144827,0
PID,4,0.75,1.2,0.0221865833104702,4.29,4.76804042464146,5.59350579710397,0,0.40649420289603,0
PID,1.25,0.5,1.5,0.0492213358124074,4.18,5.57268150485778,5.56984100477506,0,0.430158995224936,0
PID,1.75,0.75,1.7,0.0362995223318618,5.44,6.89227000649802,6.21830163168793,0,0.44,0
PID,2.5,0.75,1.5,0.0315025760241858,4.94,6.10265985872813,5.54365196126593,0,0.456348038734067,0
PID,1.5,0.75,1.6,0.0336388646235402,5.46,6.81375082479121,7.64454021638231,0,0.46,0
PID,2,0.75,1.65,0.0352621070259951,5.27,6.65575402936049,5.8028497419196,0,0.467150258080397,0
PID,1,0.5,1.9,0.0544869997136361,4.78,6.42733578888879,5.52954890615048,0,0.470451093849517,0
PID,1.75,0.75,1.75,0.0371429854380896,5.5,6.9970141402042,6.03748132256123,0,0.5,0
PID,3.75,0.75,1.25,0.0236260435904245,4.39,5.01580698554675,5.49203012346809,0,0.507969876531907,0
PID,1.5,0.75,1.65,0.0346447350643557,5.51,6.92757332169273,7.37401016033828,0,0.51,0
PID,4.25,0.75,1.2,0.0214998562116675,4.27,4.66349445108886,5.47267129402663,0,0.527328705973367,0
PID,2.75,0.75,1.45,0.0298808984200665,4.82,5.88883640097673,5.44425329463505,0,0.555746705364946,0
PID,1.5,0.75,1.7,0.035616672875405,5.57,7.03800576679265,7.12700466836293,0,0.57,0
PID,3.5,0.75,1.3,0.025118899294873,4.49,5.24425184095933,5.42533817798208,0,0.574661822017917,0
PID,2.25,0.75,1.6,0.0338429665471289,5.13,6.43162507076117,5.5391972956358,0,0.590802704364196,0
PID,1,0.5,1.95,0.0553519252002879,4.83,6.50099481955642,5.40894242049571,0,0.591057579504287,0
PID,1.25,0.5,1.55,0.0501985200676582,4.24,5.65678094613691,5.40532481383261,0,0.594675186167392,0
PID,3,0.75,1.4,0.0282572634725924,4.71,5.67654284869498,5.39747412217586,0,0.602525877824144,0
PID,3.25,0.75,1.35,0.0266648328542947,4.6,5.46283455264236,5.3929966925122,0,0.607003307487804,0
PID,3.5,1,1.4,0.0200072595861631,5.61,5.64390379916845,7.18148749218846,0,0.61,0
PID,1.25,0.75,1.55,0.0298723194851491,5.62,6.82407598096087,9.88844337084081,0,0.62,0
PID,1.5,0.75,1.75,0.036556098899994,5.63,7.14539708495133,6.90062483282257,0,0.63,0
PID,4.5,0.75,1.2,0.0208372272642452,4.25,4.54319870990141,5.36818444756786,0,0.631815552432144,0
PID,2.5,0.75,1.55,0.0322537619027778,5.01,6.21591254043384,5.37167962609157,0,0.63832037390843,0
PID,4,0.75,1.25,0.02288180624306,4.37,4.92412942494466,5.35984789279148,0,0.640152107208522,0
PID,3.75,1,1.45,0.0202304571243328,5.65,5.84393961276072,6.64057832987093,0,0.65,0
PID,3.25,1,1.4,0.0204240252244239,5.66,5.91843996272688,7.49372539890897,0,0.66,0
PID,1.25,0.75,1.6,0.0310161712479577,5.67,6.95176783200918,9.46327188173209,0,0.67,0
PID,1.5,0.75,1.25,0.0255011706618546,5.04,5.86585895801761,10.6418296217821,0,0.68182962178211,0
PID,1.75,0.75,1.8,0.0379561293530226,5.56,7.09933429458614,5.87055030669638,0,0.689449693303617,0
PID,1.5,0.75,1.8,0.0374644301365639,5.69,7.25003772258941,6.69227750408435,0,0.69,0
PID,3.5,1,1.45,0.0207244246555112,5.69,6.03629974314419,6.87980091494067,0,0.69,0
